Date,AAL,AAPL,ADBE,ADI,ADP,ADSK,AKAM,ALXN,AMAT,AMGN
2016-02-23,39.8681888308,92.350274496591,83.07,49.511820130522,81.92888732666,49.69,53.97,142.06,18.220609683265,142.47127078522
2016-02-24,40.144639867764,93.725434355502,83.42,50.252669362945,82.324772344974,49.18,54.78,141.97,18.397795514869,142.32614861614
2016-02-25,40.835767460175,94.369126204353,86.68,51.397200338592,82.962050667138,49.42,54.96,140.54,18.594668661095,141.97785541037
2016-02-26,40.351978145488,94.515419806365,86.6,51.833674015746,82.711001631134,51.19,55.24,140.16,18.70294889152,142.80021436845
2016-02-29,40.48033041265,94.300855856748,85.15,51.397200338592,81.774395612196,51.74,53.97,140.8,18.574981346473,137.65321477197
2016-03-01,41.299810272223,98.045972068247,88.37,53.055800311776,83.782787900227,54.31,55.53,150.83,19.067164212039,143.56452445891
2016-03-02,41.062852240539,98.260536017864,88.39,53.744458780173,82.70134589898,54.41,56.21,151.59,19.185288099775,142.69379144446
2016-03-03,41.349176528824,98.992004027923,87.21,53.802655270461,82.70134589898,54.79,55.64,145.85,19.14591347053,141.09744758465
2016-03-04,41.10234524582,100.46469295484,86.18,54.103337136944,83.222755435295,56.25,55.57,144.46,19.086851526662,141.23289494246
2016-03-07,41.596007811828,99.352861579552,85.11,54.791995605342,83.126198113756,58.17,55.33,149.6,19.136069813218,142.51964484158
2016-03-08,40.253245632286,98.533617408286,84.35,53.676562874838,82.546854184516,56.86,54.58,141.03,18.486388430671,139.92679542079
2016-03-09,41.12209174846,98.621393569493,85.27,53.278886857876,83.280689828219,56.69,55.19,140.52,18.870291065813,136.3180908165
2016-03-10,41.10234524582,98.670158103497,84.85,53.463175743786,82.775487323429,55.95,54.64,136.76,19.264037358266,136.44386336303
2016-03-11,41.931698356713,99.733224944782,86.0,54.25852777771,84.786581909808,56.61,56.07,139.27,19.721767423242,139.86874655316
2016-03-14,42.050177372555,99.986800521603,87.01,53.996643571418,84.786581909808,56.7,55.28,134.5,19.598721706851,139.91712060952
