PERMNO,date,PRC,RETX,sprtrn
86580,20160316,33.10000,0.029869,0.005600
86580,20160317,32.82000,-0.008459,0.006595
86580,20160318,33.81000,0.030165,0.004406
86580,20160321,33.91000,0.002958,0.000986
86580,20160322,33.85000,-0.001769,-0.000877
86580,20160323,34.43000,0.017134,-0.006386
86580,20160324,34.48000,0.001452,-0.000378
86580,20160328,34.83000,0.010151,0.000545
86580,20160329,35.39000,0.016078,0.008817
86580,20160330,35.76000,0.010455,0.004350
86580,20160331,35.63000,-0.003635,-0.002040
86580,20160401,36.15000,0.014594,0.006331
86580,20160404,35.80000,-0.009682,-0.003208
86580,20160405,35.75000,-0.001397,-0.010145
86580,20160406,35.80000,0.001399,0.010508
86580,20160407,35.43000,-0.010335,-0.011976
86580,20160408,35.66000,0.006492,0.002787
86580,20160411,35.88000,0.006169,-0.002740
86580,20160412,35.84000,-0.001115,0.009662
86580,20160413,36.74000,0.025112,0.010040
86580,20160414,36.84000,0.002722,0.000173
86580,20160415,37.13000,0.007872,-0.000984
86580,20160418,36.97000,-0.004309,0.006541
86580,20160419,36.31000,-0.017852,0.003085
86580,20160420,36.45000,0.003856,0.000762
86580,20160421,36.41000,-0.001097,-0.005194
86580,20160422,36.27000,-0.003845,0.000048
86580,20160425,36.45000,0.004963,-0.001812
86580,20160426,36.48000,0.000823,0.001873
86580,20160427,37.31000,0.022752,0.001649
86580,20160428,36.20000,-0.029751,-0.009231
86580,20160429,35.53000,-0.018508,-0.005063
86580,20160502,36.00000,0.013228,0.007810
86580,20160503,35.57000,-0.011944,-0.008677
86580,20160504,34.76000,-0.022772,-0.005937
86580,20160505,34.97000,0.006042,-0.000239
86580,20160506,35.33000,0.010295,0.003175
86580,20160509,35.28000,-0.001415,0.000753
86580,20160510,35.96000,0.019274,0.012484
86580,20160511,36.06000,0.002781,-0.009562
86580,20160512,35.57000,-0.013589,-0.000170
86580,20160513,40.98000,0.152094,-0.008478
86580,20160516,42.19000,0.029527,0.009797
86580,20160517,42.28000,0.002133,-0.009411
86580,20160518,43.36000,0.025544,0.000205
86580,20160519,43.55000,0.004382,-0.003707
86580,20160520,44.33000,0.017911,0.006019
86580,20160523,44.40000,0.001579,-0.002085
86580,20160524,45.36000,0.021622,0.013681
86580,20160525,45.17000,-0.004189,0.006975
86580,20160526,45.65000,0.010627,-0.000210
86580,20160527,45.90000,0.005476,0.004287
86580,20160531,46.72000,0.017865,-0.001000
86580,20160601,46.81000,0.001926,0.001130
86580,20160602,47.14000,0.007050,0.002825
86580,20160603,46.48000,-0.014001,-0.002912
86580,20160606,46.24000,-0.005163,0.004897
86580,20160607,46.33000,0.001946,0.001289
86580,20160608,46.18000,-0.003238,0.003309
86580,20160609,47.38000,0.025985,-0.001718
86580,20160610,46.20000,-0.024905,-0.009175
86580,20160613,46.79000,0.012771,-0.008115
86580,20160614,46.88000,0.001923,-0.001799
86580,20160615,47.36000,0.010239,-0.001841
86580,20160616,47.55000,0.004012,0.003133
86580,20160617,46.72000,-0.017455,-0.003258
86580,20160620,47.56000,0.017979,0.005808
86580,20160621,47.27000,-0.006098,0.002712
86580,20160622,47.23000,-0.000846,-0.001652
86580,20160623,48.49000,0.026678,0.013364
86580,20160624,45.73000,-0.056919,-0.035920
86580,20160627,45.24000,-0.010715,-0.018097
86580,20160628,45.90000,0.014589,0.017770
86580,20160629,46.65000,0.016340,0.017033
86580,20160630,47.01000,0.007717,0.013565
86580,20160701,46.66000,-0.007445,0.001949
86580,20160705,47.35000,0.014788,-0.006848
86580,20160706,47.65000,0.006336,0.005353
86580,20160707,48.89000,0.026023,-0.000872
86580,20160708,50.85000,0.040090,0.015253
86580,20160711,52.02000,0.023009,0.003409
86580,20160712,52.80000,0.014994,0.007009
86580,20160713,52.78000,-0.000379,0.000135
86580,20160714,53.32000,0.010231,0.005259
86580,20160715,52.70000,-0.011628,-0.000929
86580,20160718,52.97000,0.005123,0.002382
86580,20160719,53.52000,0.010383,-0.001435
86580,20160720,54.22000,0.013079,0.004270
86580,20160721,53.22000,-0.018443,-0.003612
86580,20160722,54.67000,0.027245,0.004554
86580,20160725,55.68000,0.018475,-0.003011
86580,20160726,56.63000,0.017062,0.000323
86580,20160727,56.06000,-0.010065,-0.001199
86580,20160728,56.18000,0.002141,0.001606
86580,20160729,57.10000,0.016376,0.001631
86580,20160801,56.73000,-0.006480,-0.001270
86580,20160802,56.04000,-0.012163,-0.006362
86580,20160803,56.19000,0.002677,0.003134
86580,20160804,57.23000,0.018509,0.000213
86580,20160805,58.20000,0.016949,0.008603
86580,20160808,58.74000,0.009278,-0.000907
86580,20160809,58.89000,0.002554,0.000390
86580,20160810,58.51000,-0.006453,-0.002865
86580,20160811,59.70000,0.020338,0.004735
86580,20160812,63.04000,0.055946,-0.000796
86580,20160815,62.98000,-0.000952,0.002793
86580,20160816,62.60000,-0.006034,-0.005479
86580,20160817,61.15000,-0.023163,0.001869
86580,20160818,62.10000,0.015536,0.002200
86580,20160819,62.26000,0.002576,-0.001440
86580,20160822,62.52000,0.004176,-0.000563
86580,20160823,62.91000,0.006238,0.001952
86580,20160824,61.94000,-0.015419,-0.005240
86580,20160825,61.53000,-0.006619,-0.001365
86580,20160826,62.03000,0.008126,-0.001579
86580,20160829,61.99000,-0.000645,0.005228
86580,20160830,61.63000,-0.005807,-0.001954
86580,20160831,61.34000,-0.004706,-0.002376
86580,20160901,63.15000,0.029508,-0.000041
86580,20160902,62.53000,-0.009818,0.004201
86580,20160906,63.12000,0.009435,0.002982
86580,20160907,62.19000,-0.014734,-0.000146
86580,20160908,62.64000,0.007236,-0.002223
86580,20160909,59.52000,-0.049808,-0.024522
86580,20160912,60.75000,0.020665,0.014677
86580,20160913,59.87000,-0.014486,-0.014831
86580,20160914,60.40000,0.008853,-0.000588
86580,20160915,62.69000,0.037914,0.010109
86580,20160916,62.84000,0.002393,-0.003772
86580,20160919,63.67000,0.013208,-0.000019
